"instance","type","num items","min i. value","max i. value","avg i. value","sum i. value","c. is rect","num grid points","num sides c.","area c.","min i. sides","max i. sides","avg i. sides","min i. area","max i. area","avg i. area","avg i-c area ratio","lower bound","upper bound","num i. packed","total score","improvement","loss","coverage","utilization","ms"
"jigsaw_cf2_x1e8d2b3_39","JIGSAW","39","14","408","100.46153846153847","3918","false","15728633415755760","19","1.5728633408978978E16","3","10","4.897435897435898","1.26645214092187E14","3.924941568199236E15","9.62113186755473E14","0.06116953467846947","0","0","11","1047","Infinity","2871","1.0015855950574894E16","0.6367912386372461","0"
"jigsaw_cf2_x38b54e9_31","JIGSAW","31","6","433","100.45161290322581","3114","false","15746570865265774","15","1.5746570858056388E16","3","10","4.516129032258065","5.8849221617697E13","4.4808039216844445E15","1.0350168801388556E15","0.0657296683493036","0","0","18","956","Infinity","2158","9.817926298679656E15","0.6234961495541443","0"
"random_cf3_1ec21f4b_100","RANDOM","100","3","228","100.55","10055","false","3157150125005","8","3.15715E12","3","17","7.63","8.0E8","1.0815E11","3.28015E10","0.010389591878751405","0","0","75","8107","Infinity","1948","2.63105E12","0.8333623679584435","0"
"random_cf4_x414b785_100","RANDOM","100","7","249","100.48","10048","false","1539200775006","11","1.5392E12","3","17","5.7","2.05E9","8.395E10","2.8631E10","0.018601221413721412","0","0","63","4233","Infinity","5815","1.25975E12","0.8184446465696466","0"
"jigsaw_cf2_5db5d75a_34","JIGSAW","34","26","246","100.44117647058823","3415","false","23291030795147112","12","2.3291030784811368E16","3","10","4.470588235294118","3.815138601526E14","3.640438436261752E15","1.481103012753372E15","0.06359113198713533","0","0","9","976","Infinity","2439","1.4391518820423588E16","0.6178996092267689","0"
"random_rcf1_477eb796_50","RANDOM","50","1","3","1.98","99","false","63905001200006","9","6.3905E13","3","17","6.62","1.85E11","5.755E12","1.6734E12","0.0261857444644394","0","0","25","38","Infinity","61","4.096E13","0.6409514122525624","0"
"jigsaw_cf1_504b1421_159","JIGSAW","159","1","1","1.0","159","false","20338629234290312","12","2.0338629224713944E16","3","15","4.377358490566038","2.262654206042E12","1.799731448932195E15","2.3600442939914688E14","0.011603752976251339","0","0","61","61","Infinity","98","1.2186822144579964E16","0.5991958459900273","0"
"jigsaw_cf2_xe148943_75","JIGSAW","75","2","626","100.44","7533","false","13178897701159348","20","1.317889769475162E16","3","11","4.36","7.50700539886E12","2.5812898494861695E15","4.124978518945315E14","0.031299875107066444","0","0","45","1949","Infinity","5584","7.958915275705554E15","0.6039135791208943","0"
"jigsaw_rcf1_x3d166d9_70","JIGSAW","70","1","3","2.142857142857143","150","false","16177267975254500","18","1.6177267967868788E16","3","15","4.885714285714286","7.741232402731E12","2.518845629080757E15","3.8367240367172844E14","0.023716761348935845","0","0","37","80","Infinity","70","9.549104717430738E15","0.5902791952508374","0"
"jigsaw_cf1_7b534d0f_30","JIGSAW","30","1","1","1.0","30","false","21213009990704408","11","2.1213009981539696E16","3","15","5.033333333333333","4.5507950853176E14","4.0993831381158625E15","1.2716855707684175E15","0.05994837940844241","0","0","10","10","Infinity","20","9.557806622105664E15","0.4505634339692105","0"
"jigsaw_cf4_273db689_28","JIGSAW","28","27","227","100.46428571428571","2813","false","20142359673860468","15","2.0142359666003804E16","3","12","4.428571428571429","3.54932896112448E14","3.082839619743706E15","1.3562636463062352E15","0.067333900734348","0","0","10","779","Infinity","2034","1.0385642577036032E16","0.5156120111669379","0"
"random_cf3_1c1ba767_50","RANDOM","50","3","253","100.54","5027","false","49760002231920","19","4.976E13","3","7","4.44","5.0E10","5.855E12","1.7332E12","0.03483118971061093","0","0","22","1968","Infinity","3059","3.3205E13","0.6673030546623794","0"
"jigsaw_cf3_xcd14250_28","JIGSAW","28","6","379","100.35714285714286","2810","false","14882123360044084","15","1.488212335314454E16","3","11","5.178571428571429","5.7085719772872E13","4.3749477947783275E15","1.0552842199748018E15","0.07090951975961306","0","0","13","836","Infinity","1974","8.65528154683354E15","0.5815891550855012","0"
"jigsaw_cf3_x21b52c8_130","JIGSAW","130","6","552","100.48461538461538","13063","false","20090740511543204","17","2.0090740502143252E16","3","13","4.615384615384615","1.44819840633385E13","5.227902114512375E14","1.6294631440842503E14","0.008110518096186755","0","0","65","6975","Infinity","6088","1.103158330914144E16","0.5490879396886643","0"
"jigsaw_rcf2_534443c6_61","JIGSAW","61","6","2062","195.1639344262295","11905","false","20193365402183924","11","2.0193365394150572E16","3","12","4.786885245901639","2.23784224949135E13","5.164696593532254E15","5.012783791469794E14","0.024823914655265192","0","0","42","3059","Infinity","8846","9.849930695277748E15","0.4877805409360336","0"
